日期,股票代码,名称,收盘价,最高价,最低价,开盘价,成交金额
2019/8/1,'600016,民生银行,6.02,6.06,6.01,6.04,311761690
2019/7/31,'600016,民生银行,6.07,6.08,6.03,6.07,326448065
2019/7/30,'600016,民生银行,6.07,6.1,6.03,6.04,340080157
2019/7/29,'600016,民生银行,6.04,6.05,6.02,6.04,285660271
2019/7/26,'600016,民生银行,6.04,6.05,6.02,6.03,287431301
2019/7/25,'600016,民生银行,6.05,6.05,5.99,6,332686859
2019/7/24,'600016,民生银行,6,6.03,5.98,5.99,326066864
2019/7/23,'600016,民生银行,5.98,5.99,5.96,5.97,209360994
2019/7/22,'600016,民生银行,5.97,6.02,5.96,6.01,290242975
2019/7/19,'600016,民生银行,6,6.02,5.96,5.97,269957396
2019/7/18,'600016,民生银行,5.96,5.98,5.94,5.96,214314730
2019/7/17,'600016,民生银行,5.96,6,5.96,5.98,213993482
2019/7/16,'600016,民生银行,6,6.02,5.99,6.01,170036166
2019/7/15,'600016,民生银行,6.01,6.04,5.93,6.01,414203607
2019/7/12,'600016,民生银行,6.03,6.06,5.99,5.99,311034392
2019/7/11,'600016,民生银行,5.99,6.03,5.98,6,238847824
2019/7/10,'600016,民生银行,5.98,6,5.96,6,222779021
2019/7/9,'600016,民生银行,5.98,6.02,5.96,6.01,285590917
2019/7/8,'600016,民生银行,6,6.09,5.98,6.07,538498352
2019/7/5,'600016,XD民生银,6.09,6.13,6.08,6.13,547646264
2019/7/4,'600016,民生银行,6.44,6.49,6.43,6.47,708623925
2019/7/3,'600016,民生银行,6.46,6.48,6.41,6.43,602269334
2019/7/2,'600016,民生银行,6.44,6.44,6.4,6.42,543618800
2019/7/1,'600016,民生银行,6.42,6.43,6.39,6.41,617829252
2019/6/28,'600016,民生银行,6.35,6.37,6.32,6.37,314502479
2019/6/27,'600016,民生银行,6.36,6.41,6.35,6.36,395789990
2019/6/26,'600016,民生银行,6.34,6.38,6.33,6.35,241076078
2019/6/25,'600016,民生银行,6.34,6.42,6.33,6.41,530869033
2019/6/24,'600016,民生银行,6.41,6.41,6.38,6.39,345878818
2019/6/21,'600016,民生银行,6.39,6.43,6.38,6.41,709009746
2019/6/20,'600016,民生银行,6.4,6.48,6.33,6.34,998833631
2019/6/19,'600016,民生银行,6.34,6.38,6.32,6.37,566269848
2019/6/18,'600016,民生银行,6.31,6.32,6.28,6.28,355572686
2019/6/17,'600016,民生银行,6.28,6.33,6.28,6.29,359399703
2019/6/14,'600016,民生银行,6.29,6.34,6.27,6.33,456979908
2019/6/13,'600016,民生银行,6.28,6.3,6.25,6.27,339999689
2019/6/12,'600016,民生银行,6.27,6.28,6.25,6.26,338747232
2019/6/11,'600016,民生银行,6.28,6.29,6.23,6.25,592255143
2019/6/10,'600016,民生银行,6.23,6.27,6.21,6.22,532782247
2019/6/6,'600016,民生银行,6.2,6.22,6.17,6.2,420158149
2019/6/5,'600016,民生银行,6.19,6.22,6.18,6.19,400593075
2019/6/4,'600016,民生银行,6.18,6.18,6.14,6.16,321442425
2019/6/3,'600016,民生银行,6.17,6.17,6.11,6.12,631792447
2019/5/31,'600016,民生银行,6.11,6.15,6.11,6.13,321839947
2019/5/30,'600016,民生银行,6.13,6.15,6.1,6.14,351017665
2019/5/29,'600016,民生银行,6.13,6.17,6.12,6.15,435755276
2019/5/28,'600016,民生银行,6.18,6.18,6.11,6.13,807721308
2019/5/27,'600016,民生银行,6.14,6.16,6.05,6.1,536311301
2019/5/24,'600016,民生银行,6.1,6.12,6.08,6.09,348519438
2019/5/23,'600016,民生银行,6.08,6.12,6.06,6.1,499580793
2019/5/22,'600016,民生银行,6.11,6.15,6.1,6.13,458850111
2019/5/21,'600016,民生银行,6.12,6.17,6.11,6.12,505994927
2019/5/20,'600016,民生银行,6.11,6.15,6.09,6.09,451882223
2019/5/17,'600016,民生银行,6.08,6.16,6.07,6.15,635652340
2019/5/16,'600016,民生银行,6.14,6.16,6.12,6.14,472733087
2019/5/15,'600016,民生银行,6.15,6.18,6.12,6.13,487542377
2019/5/14,'600016,民生银行,6.11,6.17,6.1,6.1,572564214
2019/5/13,'600016,民生银行,6.14,6.17,6.12,6.15,390705066
2019/5/10,'600016,民生银行,6.19,6.22,6.1,6.15,668822088
2019/5/9,'600016,民生银行,6.12,6.21,6.1,6.18,623382302
2019/5/8,'600016,民生银行,6.19,6.24,6.17,6.19,603018630
2019/5/7,'600016,民生银行,6.24,6.28,6.21,6.25,701579854
2019/5/6,'600016,民生银行,6.23,6.32,6.16,6.31,1356245739
2019/4/30,'600016,民生银行,6.4,6.44,6.34,6.38,762768456
2019/4/29,'600016,民生银行,6.38,6.41,6.29,6.3,926344681
2019/4/26,'600016,民生银行,6.28,6.39,6.28,6.36,850392047
2019/4/25,'600016,民生银行,6.38,6.45,6.37,6.44,774565840
