money,amount
28192,68980
39275,78875
34512,81400
24430,80624
23811,65562
34856,94603
23069,49705
34727,86060
32902,93485
28591,66033
26938,65446
32227,84685
18433,43105
27842,62648
36596,92935
40951,108329
29682,78204
45987,108277
43236,120000
25495,71841
39292,104747
46899,109272
27541,87669
33771,85308
37487,103226
37623,111957
47354,116192
33942,83547
28289,88000
43888,108558
23748,56323
26374,71453
22478,55535
34311,97956
31262,60472
35013,96611
32369,94611
27831,75674
31605,65021
20784,63729
39920,88493
34493,86494
17023,51546
49761,106787
32646,87756
29473,58705
41379,111732
24091,65477
45806,107412
34580,71388
23649,74983
19397,44738
35037,70993
38646,81995
40625,95467
34509,88127
34384,72019
16857,30000
43361,107875
29622,78398
23952,65134
33683,78992
41147,92855
14746,41568
10000,30338
19112,54615
30941,65444
32460,65315
41314,94341
46664,118369
50000,117759
25019,70125
31726,64898
43567,96624
25597,69238
