Indicator Name,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
0-14岁的人口（占总人口的百分比）,36.91578799,35.93552009,34.78896604,33.68972365,32.62918856,31.62933546,30.73623671,30.13656329,29.66209407,29.29425946,28.95946889,28.58971685,28.55295159,28.20645666,27.71299209,27.29242309,27.0321656,26.31806172,26.00241299,25.83921003,25.48051586,24.78872081,24.21450525,23.27958761,22.15075383,21.12442601,20.35344954,19.72080998,19.30179151,19.05466487,18.86203814,18.65995728,18.50984628,18.36966372,18.24008942,18.13436185,18.05383606,17.99461609,17.9373611,17.87700275,
0-14岁的人口总数,357715831,352611901,345762315,339804660,333897749,327940857,323050142,321493844,321547481,322714350,323955099,324546177,328581656,328596758,326580984,325280651,325698399,320435561,319849182,320906193,319203340,312993544,307972185,298071840,285390312,273788404,265351992,258543763,254375415,252408571,251102769,249615182,248796397,248118129,247587326,247401658,247557811,248085474,248682677,248978380,
"0-14岁的人口总数,女性",174136328,171603402,168229079,165222428,162201268,159168254,156690365,155840776,155795399,156304545,156836535,157022066,158814692,158618771,157408832,156540710,156516542,153650418,153106336,153383966,152301605,148992248,146324241,141229335,134759753,128842766,124515677,120968813,118755002,117654622,116902419,116082228,115569591,115173513,114884313,114784041,114866193,115187439,115538030,115760315,
15 岁（含）以上男性就业人口比率（百分比）,,,,,,,,,,,,,82.48600006,82.47000122,82.18499756,81.96600342,81.78199768,81.53700256,81.23899841,80.97100067,80.54299927,80.13899994,79.05799866,77.99099731,76.90299988,76.32299805,75.76300049,75.38800049,75.1190033,74.56500244,74.18000031,74.00800323,73.84500122,73.60399628,73.4260025,73.22000122,72.97599792,72.76300049,72.56099701,72.16799927,71.73999786
15 岁（含）以上女性就业人口比率（百分比）,,,,,,,,,,,,,71.55899811,71.4489975,71.14299774,70.875,70.6289978,70.34999847,70.02999878,69.73200226,69.33699799,68.97399902,67.88600159,66.80000305,65.69100189,64.91500092,64.15799713,63.54299927,63.02299881,62.33499908,61.75400162,61.29000092,61.09199905,60.87400055,60.65999985,60.41899872,60.11199951,59.80500031,59.48799896,58.91699982,58.32300186
15 岁（含）以上总就业人口比率（百分比）,,,,,,,,,,,,,77.15000153,77.08699799,76.79000092,76.54499817,76.32900238,76.06500244,75.75299835,75.46900177,75.05500031,74.66899872,73.58499908,72.50800323,71.40899658,70.73300171,70.07700348,69.58399963,69.19200134,68.57299805,68.09300232,67.77899933,67.59999847,67.3710022,67.17500305,66.95300293,66.67900085,66.42099762,66.16400146,65.68399811,65.1760025
15-24 岁男性就业人口比率（百分比）,,,,,,,,,,,,,73.22000122,72.87599945,72.00900269,71.18699646,70.34500122,69.3010025,68.02899933,66.72200012,65.13800049,63.70800018,61.08000183,58.63600159,56.36399841,55.14699936,54.13499832,53.58599854,53.38100052,52.74399948,52.18899918,51.65399933,50.86199951,49.58100128,48.0870018,46.52999878,45.09600067,43.84400177,42.98500061,42.16699982,41.39699936
15-24 岁女性就业人口比率（百分比）,,,,,,,,,,,,,75.59700012,74.89199829,73.76300049,72.66500092,71.5530014,70.27899933,68.81600189,67.30899811,65.56700134,63.92399979,61.17699814,58.56000137,56.07899857,54.43899918,53.00400162,51.98300171,51.30799866,50.37099838,49.49300003,48.57600021,47.72700119,46.72800064,45.48199844,44.21699905,42.98199844,41.90000153,41.3429985,40.66600037,40.01300049
15-24 岁总就业人口比率（百分比）,,,,,,,,,,,,,74.3789978,73.85800171,72.86299896,71.90599823,70.93199921,69.77600098,68.41100311,67.00700378,65.34600067,63.81299973,61.1269989,58.59899902,56.22600174,54.80400085,53.58800125,52.81100082,52.38100052,51.60300064,50.89500046,50.18000031,49.36500168,48.22299957,46.85100174,45.43700027,44.09999847,42.93099976,42.21500015,41.46500015,40.75099945
15-24岁人口的劳动力参与率，总量（%）,,,,,,,,,,,,78.33100128,77.83300018,77.34300232,76.82299805,76.19599915,75.39600372,74.40000153,73.17900085,71.74900055,70.18399811,68.57700348,66.47299957,64.33000183,62.30799866,60.5909996,59.25400162,58.26800156,57.66899872,57.23400116,56.62200165,55.61899948,54.7859993,53.73899841,52.31499863,50.83300018,49.41899872,48.04999924,47.16899872,46.3769989,45.60599899
15-64岁的人口（占总人口的百分比）,58.53265524,59.39014692,60.38572802,61.34417233,62.27457371,63.15879925,63.95382475,64.47215933,64.88625289,65.20429937,65.48348963,65.78012093,65.75345694,66.00620098,66.38654699,66.69214487,66.84353007,67.38887222,67.56700108,67.60975787,67.84412878,68.39942643,68.84570634,69.63820318,70.61835958,71.50885232,72.16407974,72.67358001,72.98536685,73.12961128,73.20572554,73.26558948,73.23099978,73.17702795,73.0809292,72.89924074,72.61433377,72.20275277,71.71751844,71.20211371,
15-64岁的人口总数,567184356,582756908,600164693,618735725,637261940,654846220,672180280,687782548,703389691,718310123,732531057,746726066,756677632,768952440,782325624,794860325,805367614,820493214,831124788,839669246,849907147,863641938,875614116,891647554,909846945,926808358,940817540,952765169,961863202,968715052,974558542,980077454,984319837,988398458,991985917,994542472,995702268,995434082,994288090,991653198,
15-64岁的人口总数，男性,294260774,302204706,311063230,320434235,329735271,338575787,347351142,355233423,363164244,370765138,377985608,385146346,390057478,396136767,402764657,408970994,414162559,421652515,426893169,431104552,436202665,443104584,449078998,457131677,466309161,474895410,482021879,488079228,492730984,496279809,499350356,502289492,504550823,506796551,508843425,510398792,511270083,511381340,511073907,510042436,
15-64岁的人口总数，女性,272923779,280552202,289102524,298302574,307527219,316270556,324829136,332549263,340225733,347545390,354545789,361579719,366620448,372815986,379561152,385889399,391205053,398840572,404231506,408564634,413704468,420537353,426535052,434515777,443537698,451912909,458795658,464685782,469131965,472434985,475208034,477787969,479768920,481601759,483142371,484143639,484432182,484052621,483214052,481610648,
