排名,姓名,企业简称,总部（省份）,总部（城市）,现金捐赠总额（万元）
1,许家印,恒大集团,广东,深圳,407000 
2,杨国强家族,碧桂园,广东,佛山,165645 
3,马云,阿里巴巴,浙江,杭州,98020 
4,马化腾,腾讯,广东,深圳,73084 
5,卢志强,中国泛海控股集团,北京,北京,58426 
6,李彦宏、马东敏夫妇,百度,北京,北京,54650 
7,黄朝阳,中骏集团,上海,上海,52594 
8,龚俊龙,恒裕集团,广东,深圳,50000 
8,陈发树,新华都,福建,福州,50000 
10,党彦宝,宝丰集团,宁夏,银川,39000 
11,王文学,华夏幸福,北京,北京,35752 
12,吴远溪、吴远港兄弟,绿海城集团、汉京集团,广东,深圳,35076 
13,黄如论、黄涛父子,世纪金源集团,北京,北京,32406 
14,王健林,万达集团,北京,北京,32100 
15,黄其森,泰禾集团,福建,福州,31920 
16,郁亮,万科集团,广东,深圳,31200 
17,何享健,美的集团/美的控股,广东,佛山,30684 
18,许健康,宝龙集团,上海,上海,30043 
19,朱孟依,合生创展/珠江投资,北京,北京,21815 
20,许荣茂,世茂集团,上海,上海,20880 
21,许连捷家族、施文博,恒安集团,福建,晋江,20555 
22,叶庆均,敦和资管,浙江,杭州,19855 
23,郭英成,佳兆业集团,香港,香港,17241 
24,林福平,宏晖集团,福建,福州,17000 
25,唐立新,新尚集团,四川,成都,16300 
26,陈卓林,雅居乐集团,广东,广州,15175 
27,苏志刚,长隆集团,广东,广州,15000 
27,李书福,吉利控股集团,浙江,杭州,15000 
27,许应裘,凯源房地产,广东,广州,15000 
30,黄文仔,星河湾集团,广东,广州,14700 
31,郭广昌,复星集团,上海,上海,13649 
32,吴少勋,劲牌,湖北,黄石,12160 
33,黄红云,金科地产集团,重庆,重庆,12000 
34,李贤义,信义集团,香港,香港,11760 
35,王卫,顺丰,广东,深圳,11274 
36,侯昌财,源昌集团,福建,厦门,11125 
37,阎志,卓尔控股,湖北,武汉,10687 
38,张近东,苏宁,江苏,南京,10332 
39,张文中,物美集团,北京,北京,10300 
40,王均金,均瑶集团,上海,上海,10100 
41,朱新红,鹏宇投资集团,北京,北京,10050 
42,李革、赵宁夫妇,药明康德,上海,上海,10003 
43,李永新,中公教育,北京,北京,10000 
43,邱建林,恒逸集团,浙江,杭州,10000 
43,龚虹嘉,海康威视,浙江,杭州,10000 
43,蒲忠杰,乐普医疗,北京,北京,10000 
43,张敬国,正商集团,河南,郑州,10000 
43,李冬,绿科,广东,深圳,10000 
49,耿建明,荣盛发展,河北,廊坊,9957 
50,孙飘扬,恒瑞医药,江苏,连云港,9666 
51,吴亚军,龙湖集团,北京,北京,8373 
52,艾路明,当代集团,湖北,武汉,7000 
53,张建斌,瑞华控股/瑞华基金会,江苏,南京,6042 
54,应宪,越众控股,广东,深圳,6000 
54,王根九,安徽润丰投资集团,安徽,合肥,6000 
56,彭国远,心里程,广东,深圳,5936 
57,马兴田,康美药业,广东,深圳,5909 
58,俞敏洪,新东方,北京,北京,5672 
59,沈南鹏,红杉资本,北京,北京,5520 
60,冯海良,海亮集团,浙江,杭州,5379 
61,张茵,玖龙纸业,广东,东莞,5300 
62,欧宗荣,正荣集团,上海,上海,5124 
63,林伟泉,嘉霖集团,广东,深圳,5000 
63,彭建虎,冠达集团,重庆,重庆,5000 
63,丁世家家族,安踏,福建,晋江,5000 
63,叶澄海、廖清清夫妇,信立泰,广东,深圳,5000 
67,吴迪,福信集团,上海,上海,4890 
68,孙宏斌,融创中国,天津,天津,4371 
69,岑钊雄,时代中国,广东,广州,4353 
70,丁水波,特步,香港,香港,4260 
71,李朝春,洛钼集团,河南,洛阳,4041 
72,谭炳照,敏捷集团,广东,广州,3809 
73,周旭洲,宇业集团,安徽,芜湖,3500 
74,徐新,今日资本,上海,上海,3478 
75,林友武,博林集团,广东,深圳,3400 
76,陈红天,祥祺集团,广东,深圳,3152 
77,柴志坤,天鸿地产,北京,北京,3100 
78,刘绍喜,宜华集团,广东,汕头,3010 
79,徐鹏,美宝集团,北京,北京,3000 
79,姚中环,环彬地产,重庆,重庆,3000 
79,张一鸣,字节跳动,北京,北京,3000 
79,钭正刚,杭州锦江集团,浙江,杭州,3000 
83,张章笋,国瑞置业,北京,北京,2870 
84,周永伟,七匹狼集团,福建,晋江,2800 
85,李赶坡,敬业集团,河北,石家庄,2618 
86,张兴海,小康股份,重庆,重庆,2335 
87,史贵禄,荣民控股集团,陕西,西安,2300 
87,张志宏,同创基业,江西,南昌,2300 
89,许世辉,达利食品集团,福建,泉州,2126 
90,柯宗庆,蓝盾股份,广东,广州,2000 
90,孔健岷,合景泰富,广东,广州,2000 
90,林聪颖,九牧王集团,福建,厦门,2000 
90,刘益谦,新理益集团,上海,上海,2000 
90,杨宗义,福中集团,江苏,南京,2000 
90,杨云春,耐威科技,北京,北京,2000 
90,洪肇设,柒牌集团,福建,晋江,2000 
90,洪忠信,劲霸男装,上海,上海,2000 
98,吴以岭,以岭药业,河北,石家庄,1960 
99,刘道明,美好置业,湖北,武汉,1827 
100,林中,旭辉集团,上海,上海,1800 
