Serial No.,University Rating,GRE Score,TOEFL Score,CGPA,Research,SOP,LOR ,Chance of Admit 
1,4,337,118,4.825,1,4.5,4.5,0.92
2,4,324,107,4.435,1,4,4.5,0.76
3,3,316,104,4,1,3,3.5,0.72
4,3,322,110,4.335,1,3.5,2.5,0.8
5,2,314,103,4.105,0,2,3,0.65
6,5,330,115,4.67,1,4.5,3,0.9
7,3,321,109,4.1,1,3,4,0.75
8,2,308,101,3.95,0,3,4,0.68
9,1,302,102,4,0,2,1.5,0.5
10,3,323,108,4.3,0,3.5,3,0.45
11,3,325,106,4.2,1,3.5,4,0.52
12,4,327,111,4.5,1,4,4.5,0.84
13,4,328,112,4.55,1,4,4.5,0.78
14,3,307,109,4,1,4,3,0.62
15,3,311,104,4.1,1,3.5,2,0.61
16,3,314,105,4.15,0,3.5,2.5,0.54
17,3,317,107,4.35,0,4,3,0.66
18,3,319,106,4,1,4,3,0.65
19,3,318,110,4.4,0,4,3,0.63
20,3,303,102,4.25,0,3.5,3,0.62
21,3,312,107,3.95,1,3,2,0.64
22,4,325,114,4.2,0,3,2,0.7
23,5,328,116,4.75,1,5,5,0.94
24,5,334,119,4.85,1,5,4.5,0.95
25,5,336,119,4.9,1,4,3.5,0.97
26,5,340,120,4.8,1,4.5,4.5,0.94
27,5,322,109,4.4,0,4.5,3.5,0.76
28,2,298,98,3.75,1,1.5,2.5,0.44
29,1,295,93,3.6,0,2,2,0.46
30,2,310,99,3.65,0,1.5,2,0.54
31,2,300,97,4.05,1,3,3,0.65
32,3,327,103,4.15,1,4,4,0.74
33,4,338,118,4.7,1,3,4.5,0.91
34,5,340,114,4.8,1,4,4,0.9
35,5,331,112,4.9,1,4,5,0.94
36,5,320,110,4.6,1,5,5,0.88
37,2,299,106,4.2,0,4,4,0.64
38,1,300,105,3.9,0,1,2,0.58
39,1,304,105,3.75,0,3,1.5,0.52
40,2,307,108,3.85,0,4,3.5,0.48
41,3,308,110,4,1,3.5,3,0.46
42,2,316,105,4.1,1,2.5,2.5,0.49
43,2,313,107,4.25,1,2.5,2,0.53
44,4,332,117,4.55,0,4.5,4,0.87
45,5,326,113,4.7,1,4.5,4,0.91
46,5,322,110,4.55,1,5,4,0.88
47,5,329,114,4.65,1,4,5,0.86
48,5,339,119,4.85,0,4.5,4,0.89
49,3,321,110,4.425,1,3.5,5,0.82
50,4,327,111,4.2,1,3,4,0.78
51,3,313,98,4.15,1,2.5,4.5,0.76
52,2,312,100,3.95,1,1.5,3.5,0.56
53,4,334,116,4,1,4,3,0.78
54,4,324,112,4.05,1,4,2.5,0.72
55,3,322,110,4,0,3,3.5,0.7
56,3,320,103,3.85,0,3,3,0.64
57,3,316,102,3.7,0,2,3,0.64
58,2,298,99,3.8,0,4,2,0.46
59,1,300,99,3.4,1,3,2,0.36
60,2,311,104,4.15,0,2,2,0.42
61,2,309,100,4.05,0,3,3,0.48
62,3,307,101,4.1,0,4,3,0.47
63,2,304,105,4.1,1,3,3,0.54
64,2,315,107,4.25,1,4,3,0.56
65,3,325,111,4.35,0,3,3.5,0.52
66,4,325,112,4.46,0,3.5,3.5,0.55
67,3,327,114,4.51,0,3,3,0.61
68,2,316,107,4.32,1,3.5,3.5,0.57
69,3,318,109,4.61,1,3.5,4,0.68
70,4,328,115,4.58,1,4.5,4,0.78
71,5,332,118,4.82,1,5,5,0.94
72,5,336,112,4.88,1,5,5,0.96
73,5,321,111,4.725,1,5,5,0.93
74,4,314,108,4.52,1,4.5,4,0.84
75,3,314,106,4.45,0,3,5,0.74
76,2,329,114,4.28,1,2,4,0.72
77,3,327,112,4.36,1,3,3,0.74
78,2,301,99,4.11,0,3,2,0.64
79,2,296,95,3.77,1,3,2,0.44
80,1,294,93,3.68,0,1.5,2,0.46
81,3,312,105,4.01,1,2,3,0.5
82,4,340,120,4.75,1,5,5,0.96
83,5,320,110,4.61,1,5,4.5,0.92
84,5,322,115,4.68,1,4,4.5,0.92
85,5,340,115,4.725,1,4.5,4.5,0.94
86,4,319,103,4.33,0,4.5,3.5,0.76
87,3,315,106,4.21,0,4.5,3.5,0.72
88,2,317,107,4.14,0,3.5,3,0.66
89,3,314,108,4.07,0,4.5,3.5,0.64
90,4,316,109,4.38,1,4.5,3.5,0.74
91,2,318,106,3.96,1,4,4,0.64
92,3,299,97,3.83,0,5,3.5,0.38
93,2,298,98,4.015,0,4,3,0.34
94,2,301,97,3.94,1,3,3,0.44
95,3,303,99,3.83,0,2,2.5,0.36
