市区,小区,户型,朝向,楼层,装修情况,电梯,面积(㎡),价格(万元),年份
海淀,毛纺住宅北小区,3室1厅,东西,14,简装,无电梯,97,630,1997
海淀,知春里,3室1厅,南北,6,其他,无电梯,73,910,1988
海淀,北蜂窝30号院,2室1厅,南北,5,简装,无电梯,50,385,1980
海淀,雅世合金公寓,2室1厅,东南,9,精装,有电梯,85,830,2011
海淀,新起点嘉园,2室1厅,西北,20,精装,有电梯,124,1400,2003
海淀,学院南路丙10号院,2室1厅,南,5,简装,无电梯,50,450,1991
海淀,玉阜嘉园,2室1厅,北,12,简装,有电梯,71,502,2003
海淀,育新花园,2室0厅,东南,20,简装,有电梯,86,649,1999
海淀,首体家属院,1室1厅,南,6,简装,无电梯,37,400,1983
海淀,铁道科学研究院,2室1厅,南北,6,简装,无电梯,64,550,1980
海淀,文慧园路21号,2室1厅,东西,6,精装,无电梯,66,430,1985
海淀,文慧园一号公寓,1室0厅,东,13,毛坯,有电梯,38,353,2004
海淀,科育小区,2室1厅,南北,4,毛坯,无电梯,66,820,1975
海淀,城华园,1室1厅,东,27,简装,有电梯,66,450,2002
海淀,民族大学家属院,1室2厅,南北,14,简装,有电梯,47,395,1985
海淀,沁春家园,2室1厅,西北,21,简装,有电梯,108,600,2004
海淀,今典花园,2室1厅,西北,25,简装,有电梯,72,680,2002
海淀,地质附中,2室1厅,东西,7,精装,无电梯,64,550,1992
海淀,光大花园,1室1厅,南,17,精装,有电梯,76,1100,2000
海淀,电力宿舍,2室1厅,东西,14,简装,有电梯,63,412,1997
海淀,东王庄,1室1厅,西,6,精装,无电梯,49,402,1995
海淀,兰园,2室1厅,东南,6,简装,无电梯,93,550,1997
海淀,蓟门东里,2室0厅,西南,16,精装,有电梯,65,540,1987
海淀,高巢,1室0厅,东北,15,简装,有电梯,54,380,2005
海淀,钢铁研究院,3室1厅,南北,4,简装,无电梯,88,790,1985
海淀,上林溪,1室0厅,南,11,精装,无电梯,44,380,2011
海淀,学知轩,2室1厅,西南,21,精装,有电梯,89,600,2001
海淀,万泉新新商务花园,1室1厅,东,10,精装,有电梯,58,750,2003
海淀,远大园四区,3室2厅,南北,7,简装,有电梯,153,1900,2000
海淀,碧森里,3室2厅,南北,9,简装,有电梯,132,1020,2004
海淀,太阳园,2室1厅,西南,26,其他,有电梯,105,1250,2001
海淀,博雅德园,3室2厅,南北,10,精装,有电梯,137,900,2005
海淀,龙翔路小区,3室1厅,东南,18,精装,无电梯,112,1005,1998
海淀,橡树湾,2室1厅,西南,16,其他,有电梯,88,820,2007
海淀,紫竹花园,3室1厅,西,14,其他,有电梯,198,1487,2001
海淀,青云南区,4室2厅,南北,6,其他,无电梯,127,1200,1996
海淀,观景园,2室1厅,南北,6,精装,无电梯,91,696,2011
